text_length,has_media,source_type,metadata_completeness,label
45,1,Citizen,0.9,reliable
12,0,Citizen,0.5,suspicious
80,1,IMD,1.0,reliable
65,0,WeatherAPI,1.0,reliable
5,0,Citizen,0.3,suspicious
35,1,Citizen,0.8,reliable
90,1,Citizen,0.95,reliable
15,0,Social,0.4,suspicious
100,1,IMD,1.0,reliable
20,0,Citizen,0.6,suspicious
55,1,Citizen,0.85,reliable
8,0,Social,0.2,suspicious
70,0,WeatherAPI,1.0,reliable
40,1,Citizen,0.8,reliable
10,0,Citizen,0.4,suspicious
120,1,IMD,1.0,reliable
25,0,Social,0.5,suspicious
50,1,Citizen,0.9,reliable
18,0,Citizen,0.4,suspicious
85,1,WeatherAPI,1.0,reliable
14,0,Social,0.3,suspicious
60,1,Citizen,0.88,reliable
22,0,Citizen,0.5,suspicious
110,1,IMD,1.0,reliable
30,1,Citizen,0.7,reliable
5,0,Social,0.1,suspicious
75,0,WeatherAPI,1.0,reliable
48,1,Citizen,0.9,reliable
11,0,Citizen,0.3,suspicious
95,1,IMD,1.0,reliable
16,0,Social,0.4,suspicious
58,1,Citizen,0.85,reliable
24,0,Citizen,0.6,suspicious
88,1,WeatherAPI,1.0,reliable
33,1,Citizen,0.75,reliable
9,0,Social,0.2,suspicious
105,1,IMD,1.0,reliable
19,0,Citizen,0.4,suspicious
62,1,Citizen,0.92,reliable
28,0,Social,0.5,suspicious
72,0,WeatherAPI,1.0,reliable
42,1,Citizen,0.82,reliable
13,0,Citizen,0.3,suspicious
115,1,IMD,1.0,reliable
38,1,Citizen,0.78,reliable
7,0,Social,0.2,suspicious
68,1,Citizen,0.86,reliable
21,0,Citizen,0.5,suspicious
82,1,WeatherAPI,1.0,reliable
17,0,Social,0.4,suspicious
52,1,Citizen,0.84,reliable
26,0,Citizen,0.6,suspicious
125,1,IMD,1.0,reliable
36,1,Citizen,0.76,reliable
10,0,Social,0.3,suspicious
78,0,WeatherAPI,1.0,reliable
46,1,Citizen,0.88,reliable
14,0,Citizen,0.4,suspicious
102,1,IMD,1.0,reliable
23,0,Social,0.5,suspicious
65,1,Citizen,0.9,reliable
29,0,Citizen,0.6,suspicious
86,1,WeatherAPI,1.0,reliable
32,1,Citizen,0.72,reliable
8,0,Social,0.2,suspicious
112,1,IMD,1.0,reliable
19,0,Citizen,0.4,suspicious
56,1,Citizen,0.84,reliable
25,0,Social,0.5,suspicious
74,0,WeatherAPI,1.0,reliable
44,1,Citizen,0.86,reliable
12,0,Citizen,0.3,suspicious
108,1,IMD,1.0,reliable
27,0,Social,0.6,suspicious
60,1,Citizen,0.88,reliable
20,0,Citizen,0.5,suspicious
90,1,WeatherAPI,1.0,reliable
34,1,Citizen,0.74,reliable
11,0,Social,0.3,suspicious
118,1,IMD,1.0,reliable
15,0,Citizen,0.4,suspicious
54,1,Citizen,0.82,reliable
22,0,Social,0.5,suspicious
76,0,WeatherAPI,1.0,reliable
40,1,Citizen,0.8,reliable
9,0,Citizen,0.2,suspicious
104,1,IMD,1.0,reliable
24,0,Social,0.5,suspicious
62,1,Citizen,0.9,reliable
28,0,Citizen,0.6,suspicious
84,1,WeatherAPI,1.0,reliable
31,1,Citizen,0.7,reliable
7,0,Social,0.1,suspicious
114,1,IMD,1.0,reliable
18,0,Citizen,0.4,suspicious
50,1,Citizen,0.8,reliable
21,0,Social,0.4,suspicious
70,0,WeatherAPI,1.0,reliable
48,1,Citizen,0.88,reliable
13,0,Citizen,0.3,suspicious
